MN_mean	NN_mean	theta	prob	log2FC	length	GC	Chrom	GeneStart	GeneEnd	Biotype	ENSEMBL	SYMBOL	ENTREZ
ENSG00000152463	40.7237911525337	306.617677460465	-2.99938334156363	0.999999999999913	-2.91249709578724	41627	43.07	10	15032227	15073853	protein_coding	ENSG00000152463	OLAH	55301
ENSG00000124098	7757.97514844118	14686.1710871642	-2.35257577185325	0.999999999999907	-0.920706252396454	9690	49.24	20	56358974	56368663	protein_coding	ENSG00000124098	FAM210B	116151
ENSG00000179869	1040.11274068813	2791.35955284395	-2.81868376379859	0.999999999999891	-1.42422805425907	476040	38.84	7	48171458	48647497	protein_coding	ENSG00000179869	ABCA13	154664
ENSG00000163220	40407.160579209	61621.4623683659	-2.88967304759889	0.999999999999884	-0.608821943509589	3170	52.56	1	153357854	153361023	protein_coding	ENSG00000163220	S100A9	6280
ENSG00000118113	180.010948466588	981.139573713044	-3.14840773283844	0.999999999999879	-2.44637372858657	15255	39.04	11	102711796	102727050	protein_coding	ENSG00000118113	MMP8	4317
ENSG00000198363	9446.05056179461	16457.6552575069	-2.81818101980031	0.999999999999871	-0.800975644930576	214085	38.17	8	61500556	61714640	protein_coding	ENSG00000198363	ASPH	444
ENSG00000087116	118.45666409169	1151.05677901663	-3.77441533253127	0.999999999999868	-3.28052773151122	234609	53.88	5	179110853	179345461	protein_coding	ENSG00000087116	ADAMTS2	9509
ENSG00000122025	418.374433958686	1123.33825286705	-2.69397500497468	0.999999999999808	-1.42492580969481	97319	43.22	13	28003274	28100592	protein_coding	ENSG00000122025	FLT3	2322
ENSG00000213719	10002.7574461699	12375.4176820904	-2.32266188293509	0.999999999999	-0.307079457786808	9183	51	6	31730581	31739763	protein_coding	ENSG00000213719	CLIC1	1192
ENSG00000159346	42796.6934739397	71064.3827250135	-2.32155112856966	0.999999999996748	-0.731627329653262	17747	44.28	1	202940826	202958572	protein_coding	ENSG00000159346	ADIPOR1	51094
ENSG00000115590	10754.731939706	21911.7132954374	-2.38473080634787	0.999999999987321	-1.02673072806383	36585	44.63	2	101991960	102028544	protein_coding	ENSG00000115590	IL1R2	7850
ENSG00000057757	2084.67487825979	4514.91850192325	-2.38524292022266	0.999999999982147	-1.11487754471271	9815	44.53	1	23778418	23788232	protein_coding	ENSG00000057757	PITHD1	57095
ENSG00000121270	33.0589845589137	193.185960144217	-2.46529861871194	0.999999999905468	-2.54687593308241	81796	45.6	16	48165773	48247568	protein_coding	ENSG00000121270	ABCC11	85320
ENSG00000181788	3935.58254827451	7523.39085221534	-2.31457240278879	0.999999997537638	-0.934805842146826	22353	44.98	3	150741125	150763477	protein_coding	ENSG00000181788	SIAH2	6478
ENSG00000092841	3531.7654186695	5004.66713977864	-2.31211641257736	0.999999978489176	-0.502884596896775	5151	51.25	12	56158346	56163496	protein_coding	ENSG00000092841	MYL6	4637
ENSG00000027697	9182.4662856949	11690.3475148234	-2.1507232230556	0.999999871493712	-0.348364217905757	21965	38.8	6	137197485	137219449	protein_coding	ENSG00000027697	IFNGR1	3459
ENSG00000157554	260.265714703209	594.829856061125	-2.15211611903037	0.999999829621016	-1.19249178653116	281754	41.91	21	38380027	38661780	protein_coding	ENSG00000157554	ERG	2078
ENSG00000145428	3814.15584958883	5889.99594874103	-2.15285462012402	0.99999972419672	-0.626902847163519	49865	41	4	153710160	153760024	protein_coding	ENSG00000145428	RNF175	285533
ENSG00000166710	48596.0223819133	63601.2864193358	-2.14851517822774	0.999999650730752	-0.388217713126616	7365	42.65	15	44711487	44718851	protein_coding	ENSG00000166710	B2M	567
ENSG00000239839	656.323631183128	2417.65518403138	-2.396905822429	0.999999407871828	-1.88112921219806	2429	43.85	8	7015869	7018297	protein_coding	ENSG00000239839	DEFA3	1668
ENSG00000135046	3235.17839510899	4246.8001321481	-2.15510479047672	0.999998835867735	-0.392530944586027	18529	34.68	9	73151865	73170393	protein_coding	ENSG00000135046	ANXA1	301
ENSG00000148175	5299.4791711332	10062.7699124635	-2.14669952050867	0.999998707690459	-0.92510499622027	31318	39.57	9	121338987	121370304	protein_coding	ENSG00000148175	STOM	2040
ENSG00000272396	31.9760235145075	115.332811488431	-2.15532100730542	0.999998604525646	-1.85074056549957	8286	52.04	19	43360685	43368970	lncRNA	ENSG00000272396	NA	NA
ENSG00000115604	3665.36407956012	7237.82804894486	-2.15615775930894	0.999997696429608	-0.981600325657734	87249	39.54	2	102311529	102398777	protein_coding	ENSG00000115604	IL18R1	8809
ENSG00000119950	8226.46672846064	14299.4997504603	-2.15787418009828	0.999993093227909	-0.797619846509398	79761	40.13	10	110207605	110287365	protein_coding	ENSG00000119950	MXI1	4601
ENSG00000163736	1913.95103893329	3133.97276357402	-2.1388676506144	0.999885985079311	-0.711438717331922	1752	38.3	4	73986439	73988190	protein_coding	ENSG00000163736	PPBP	5473
ENSG00000123836	1175.9240093149	2403.36009158075	-2.25422892128902	0.999725707489882	-1.0312579881467	46659	42.36	1	207034366	207081024	protein_coding	ENSG00000123836	PFKFB2	5208
ENSG00000177575	974.99013831672	1640.81704141816	-2.29684069604874	0.999589194553184	-0.75095484904991	33083	37.42	12	7470811	7503893	protein_coding	ENSG00000177575	CD163	9332
ENSG00000136819	2292.2819036066	4619.36517289286	-2.29558345982941	0.999274122624781	-1.01091012263716	8574	48.01	9	129827290	129835863	protein_coding	ENSG00000136819	C9orf78	51759
ENSG00000096060	17422.0998644267	29262.7972289152	-2.10485195546542	0.999207750292067	-0.748149162506037	154999	41.97	6	35573585	35728583	protein_coding	ENSG00000096060	FKBP5	2289
ENSG00000082146	14994.5241189549	26588.6681600725	-2.10463616084864	0.999177261117017	-0.826375777539438	92989	38.23	2	201387858	201480846	protein_coding	ENSG00000082146	STRADB	55437
ENSG00000206177	1051.61514042694	1883.02729944251	-2.07750291276043	0.999154529767487	-0.840447097627108	12873	58.25	16	153892	166764	protein_coding	ENSG00000206177	HBM	3042
ENSG00000172331	2448.68529180076	7291.59334800503	-2.10813700888416	0.999125840431862	-1.5742267357668	33006	39.66	7	134646811	134679816	protein_coding	ENSG00000172331	BPGM	669
ENSG00000169826	8473.53835386712	10575.3854345851	-1.93129371044428	0.998956473036755	-0.319673808716694	46858	38.92	10	43138445	43185302	protein_coding	ENSG00000169826	CSGALNACT2	55454
ENSG00000243317	2849.64915763422	4130.74505842328	-1.92680758350764	0.998894198476278	-0.535617713743803	30923	43.1	7	135662496	135693418	protein_coding	ENSG00000243317	STMP1	647087
ENSG00000138449	4945.14847173038	6487.47825478613	-2.10256653132461	0.99877516181959	-0.391643961045724	23169	38.25	2	189560590	189583758	protein_coding	ENSG00000138449	SLC40A1	30061
ENSG00000124172	1156.75578930476	1645.95060623506	-1.92622240874839	0.998736583126061	-0.508836722905727	6871	39.32	20	59025475	59032345	protein_coding	ENSG00000124172	ATP5F1E	514
ENSG00000185774	281.376716881841	554.416756244223	-1.92613208808595	0.99871250247008	-0.978467906356699	1220167	37.71	4	20728606	21948772	protein_coding	ENSG00000185774	KCNIP4	80333
ENSG00000087086	111576.339481861	140120.337502569	-2.24994527716617	0.998619660888341	-0.328635241871978	1571	55.82	19	48965309	48966879	protein_coding	ENSG00000087086	FTL	2512
ENSG00000066926	5526.3127866929	12766.1247879385	-2.07404412676369	0.998444675788352	-1.20793152978234	42356	42.66	18	57544377	57586732	protein_coding	ENSG00000066926	FECH	2235
ENSG00000134463	685.650191712591	1661.63128091146	-2.22229030303699	0.998401787438788	-1.27705565273159	21705	47.51	10	11742366	11764070	protein_coding	ENSG00000134463	ECHDC3	79746
ENSG00000022840	24427.2786706219	36824.6989182781	-2.08337514113127	0.997992814134576	-0.592180581097561	44109	45.25	12	120533480	120577588	protein_coding	ENSG00000022840	RNF10	9921
ENSG00000105701	23439.9487147753	33032.2107116429	-2.08388611197447	0.997802986543866	-0.494904113339538	12327	56.64	19	18531751	18544077	protein_coding	ENSG00000105701	FKBP8	23770
ENSG00000138772	3448.13892731701	4982.95771551017	-1.9238750396418	0.997655715217722	-0.531184429086576	58705	39.9	4	78551747	78610451	protein_coding	ENSG00000138772	ANXA3	306
ENSG00000122862	30173.0381681397	41184.1627804841	-2.08429508682968	0.997637209455768	-0.448829690027026	16703	42.48	10	69088103	69104805	protein_coding	ENSG00000122862	SRGN	5552
ENSG00000008441	7937.9802306538	12340.9832487864	-1.92378279372452	0.997605459404141	-0.636613469108471	103322	55.31	19	12995475	13098796	protein_coding	ENSG00000008441	NFIX	4784
ENSG00000164104	756.927141159309	1319.67739335355	-2.2182170652742	0.997424184510747	-0.801958949466328	3057	45.5	4	173331376	173334432	protein_coding	ENSG00000164104	HMGB2	3148
ENSG00000170315	5053.77371701134	9469.50682576775	-2.17092425481174	0.997422300088013	-0.905928222758312	1948	51.44	17	16380798	16382745	protein_coding	ENSG00000170315	UBB	7314
ENSG00000179593	66.2911129433012	218.36490154066	-2.08514753573604	0.99728555059422	-1.71985360690892	10101	55.65	17	8039034	8049134	protein_coding	ENSG00000179593	ALOX15B	247
ENSG00000187554	4914.19806590292	6922.3744692148	-2.11344354482213	0.997084733395986	-0.494310980458503	33845	46.59	1	223109404	223143248	protein_coding	ENSG00000187554	TLR5	7100
ENSG00000143761	13670.7521170582	15846.2025100562	-1.92261353368175	0.996830103886212	-0.213044527525274	16553	52.33	1	228082660	228099212	protein_coding	ENSG00000143761	ARF1	375
ENSG00000167768	1810.27471966973	3900.62317043246	-2.21687978233609	0.996739263480641	-1.10749597864289	5672	47.13	12	52674736	52680407	protein_coding	ENSG00000167768	KRT1	3848
ENSG00000122026	2967.54043520154	4448.50550015502	-2.08647304884829	0.996728892607963	-0.584053048238625	5330	41.73	13	27251362	27256691	protein_coding	ENSG00000122026	RPL21	6144
ENSG00000004939	32190.1071882306	69307.8587310823	-2.29174210489477	0.996719474903869	-1.10640156623511	19752	55.79	17	44248390	44268141	protein_coding	ENSG00000004939	SLC4A1	6521
ENSG00000133606	20012.9121523629	34513.7526832771	-2.21682631843012	0.996709742706294	-0.786240232282879	26504	45.73	7	140453033	140479536	protein_coding	ENSG00000133606	MKRN1	23608
ENSG00000179262	3486.38088129977	5300.21947178581	-1.92236885337029	0.996660603772342	-0.604321910008044	7788	54.44	19	12945855	12953642	protein_coding	ENSG00000179262	RAD23A	5886
ENSG00000097033	10669.9326304952	13102.5192493162	-2.04667073096522	0.99651756724267	-0.296293161409859	43615	36.11	1	86704570	86748184	protein_coding	ENSG00000097033	SH3GLB1	51100
ENSG00000112335	5769.66402358449	7850.84323034556	-2.24696171364859	0.996516150290925	-0.444360305957839	50025	41.15	6	108211222	108261246	protein_coding	ENSG00000112335	SNX3	8724
ENSG00000143774	11972.7967812451	16448.6746477285	-2.02565456726963	0.996372686184033	-0.45821114597461	9023	61.76	1	228139962	228148984	protein_coding	ENSG00000143774	GUK1	2987
ENSG00000234690	277.027045088707	693.44452003051	-2.08744519394784	0.996346285205314	-1.32375363445451	152670	46.05	2	47192405	47345074	lncRNA	ENSG00000234690	EPCAM-DT	101927043
ENSG00000229117	2114.64600977426	3098.71979146344	-2.08814906299872	0.996087705832867	-0.551256124515982	1378	46.23	12	56116590	56117967	protein_coding	ENSG00000229117	RPL41	6171
ENSG00000233276	7547.12582371765	13643.0717672537	-2.11514467467558	0.99602216187541	-0.854169275101197	1178	62.31	3	49357176	49358353	protein_coding	ENSG00000233276	GPX1	2876
ENSG00000255801	8021.50122670084	13309.8512687763	-2.09512793766267	0.995924617893844	-0.730550281980441	19253	40.62	12	8548361	8567613	lncRNA	ENSG00000255801	NA	NA
ENSG00000115607	5953.53920958582	9331.40490413625	-2.18988446834401	0.995430333031656	-0.648346740041709	33877	40.03	2	102418689	102452565	protein_coding	ENSG00000115607	IL18RAP	8807
ENSG00000200488	28406.3571017403	35185.7857457801	-1.9361509414525	0.995140633834928	-0.308778901916661	332	58.43	2	76445079	76445410	misc_RNA	ENSG00000200488	NA	NA
ENSG00000198876	21058.677360526	34481.6738147794	-2.12626263907252	0.994852841957047	-0.711414980280623	41013	45.99	9	34086387	34127399	protein_coding	ENSG00000198876	DCAF12	25853
ENSG00000198858	44128.0669951934	58887.1522071982	-2.11739741717131	0.994602961846135	-0.416256353967504	16743	58.93	19	896503	913245	protein_coding	ENSG00000198858	R3HDM4	91300
ENSG00000198336	561.665599503651	1042.64380671081	-2.03402680719452	0.994329339381663	-0.89246303162321	23234	45.91	17	47200446	47223679	protein_coding	ENSG00000198336	MYL4	4635
ENSG00000180509	2458.97759872283	4098.15135094906	-2.02211575964313	0.99423890517402	-0.736914674203285	65527	43.71	21	34446688	34512214	protein_coding	ENSG00000180509	KCNE1	3753
ENSG00000183696	4471.64110100652	5414.39916363927	-2.12496601724565	0.994090962480631	-0.275996850232687	20109	48.3	7	48088628	48108736	protein_coding	ENSG00000183696	UPP1	7378
ENSG00000168916	1032.60027593931	2113.18699929099	-2.20466425380322	0.993931849358523	-1.0331385505692	111895	40.42	5	124636913	124748807	protein_coding	ENSG00000168916	ZNF608	57507
ENSG00000013306	73640.389730247	108074.999745646	-2.0350322561524	0.993808275849943	-0.55346366577988	5246	61.11	17	44319625	44324870	protein_coding	ENSG00000013306	SLC25A39	51629
ENSG00000079277	8277.02389481585	10337.8021849085	-2.00088042790711	0.993374158510855	-0.320745474091574	59437	48.24	1	46557407	46616843	protein_coding	ENSG00000079277	MKNK1	8569
ENSG00000240247	52.6545182721575	209.145374812621	-1.99797175886072	0.993292783151655	-1.98987685455902	2433	43.81	8	6996766	6999198	protein_coding	ENSG00000240247	DEFA1B	728358
ENSG00000137267	291.381657478074	764.724524954448	-2.2103483685731	0.99325870777801	-1.3920300801266	4048	55.01	6	3153497	3157544	protein_coding	ENSG00000137267	TUBB2A	7280
ENSG00000060138	28140.5228161682	44564.4766165513	-2.20679112300779	0.993160072276117	-0.663245030077113	24235	39.08	12	10699089	10723323	protein_coding	ENSG00000060138	YBX3	8531
ENSG00000180596	3725.53090869428	4755.80910838275	-2.20723453905959	0.993069058525835	-0.352244776234422	9054	37.87	6	26114873	26123926	protein_coding	ENSG00000180596	H2BC4	8347
ENSG00000167996	26254.4400681952	31366.0124107365	-2.03793735661468	0.992851252869577	-0.256640702273453	7917	50.4	11	61959718	61967634	protein_coding	ENSG00000167996	FTH1	2495
ENSG00000171552	22674.4813357356	37353.3979629654	-2.03816254859998	0.992848447133809	-0.720169937625797	59538	48.2	20	31664452	31723989	protein_coding	ENSG00000171552	BCL2L1	598
ENSG00000049089	358.452347108827	683.387617504848	-1.83594719754986	0.992288597414912	-0.930922768555681	17325	57.43	1	40300489	40317813	protein_coding	ENSG00000049089	COL9A2	1298
ENSG00000260231	585.756730225709	1165.18181823771	-2.00574832215039	0.992050430430389	-0.992181564055849	2457	50.47	7	140177184	140179640	lncRNA	ENSG00000260231	KDM7A-DT	100134229
ENSG00000278828	1514.90019676468	2153.30189668102	-2.0193681913316	0.992006092313932	-0.507327851500218	1237	49.07	6	27810064	27811300	protein_coding	ENSG00000278828	H3C10	8357
ENSG00000143546	4592.10546978181	7624.38297480434	-1.99459301318514	0.991893763016062	-0.731464810346469	1042	53.84	1	153390032	153391073	protein_coding	ENSG00000143546	S100A8	6279
ENSG00000086232	7823.15323796353	13158.4468936024	-2.41552927062847	0.991867290751593	-0.750167086685825	36929	44.67	7	6022247	6059175	protein_coding	ENSG00000086232	EIF2AK1	27102
ENSG00000169385	424.870288641612	729.278351099477	-1.84077934963398	0.991706078675548	-0.779447108875511	950	47.16	14	20955487	20956436	protein_coding	ENSG00000169385	RNASE2	6036
ENSG00000283646	77.9408086852163	223.541583539175	-2.00689719326361	0.991599718810645	-1.52009242308769	7068	50.42	3	46416524	46423591	lncRNA	ENSG00000283646	LINC02009	105377068
ENSG00000110693	1300.65970467481	2135.15003473307	-1.83459662703941	0.99152629496105	-0.715093895073865	773143	36.07	11	15966449	16739591	protein_coding	ENSG00000110693	SOX6	55553
ENSG00000206047	52.8364415073912	214.852384468696	-2.01809963028291	0.991087675373387	-2.02374057788072	2444	43.86	8	6977649	6980092	protein_coding	ENSG00000206047	DEFA1	1667
ENSG00000150681	3645.83482036642	4994.9428846862	-2.06143537827917	0.991029502346657	-0.454218981885024	27354	33.95	1	192158462	192185815	protein_coding	ENSG00000150681	RGS18	64407
ENSG00000123091	7718.02254944169	11989.1737264674	-2.00836283278785	0.991001816870468	-0.635429070018124	37175	41.24	1	51236273	51273447	protein_coding	ENSG00000123091	RNF11	26994
ENSG00000166947	1984.874748116	4262.74074279374	-2.06217446493815	0.990970176937651	-1.10273334255309	23792	50.03	15	43197227	43221018	protein_coding	ENSG00000166947	EPB42	2038
ENSG00000196547	6787.78810029787	8895.12160954553	-1.8868909632381	0.990528679629057	-0.390072801573227	20367	55.3	15	90902218	90922584	protein_coding	ENSG00000196547	MAN2A2	4122
ENSG00000103202	1035.89712277066	1456.58241194232	-1.88745183488057	0.990525500116799	-0.491706597086332	13643	58.71	16	396725	410367	protein_coding	ENSG00000103202	NME4	4833
ENSG00000198585	1137.84771783763	1660.04465449713	-1.88803736593993	0.990507744888122	-0.544914560367076	7160	48.83	3	131381671	131388830	protein_coding	ENSG00000198585	NUDT16	131870
ENSG00000100228	1461.10218588225	2238.61893223011	-1.88637560121546	0.990468614899199	-0.615551886858327	20298	55.37	22	23145366	23165663	protein_coding	ENSG00000100228	RAB36	9609
ENSG00000142534	8459.86243412237	10065.8404683275	-1.88595935012419	0.990378753449347	-0.250761529142432	3344	53.08	19	49496365	49499708	protein_coding	ENSG00000142534	RPS11	6205
ENSG00000183508	29767.8069283887	62972.0018262468	-2.01002652420448	0.990353769522632	-1.08095759172328	22342	43.96	1	117606048	117628389	protein_coding	ENSG00000183508	TENT5C	54855
ENSG00000034152	25108.372266404	34904.6150911925	-2.01036031506389	0.990230106792841	-0.475249298163543	30561	56.98	17	21284672	21315232	protein_coding	ENSG00000034152	MAP2K3	5606
ENSG00000136842	1616.60601545749	2896.53173426517	-1.88503272278539	0.990112087642878	-0.841358350084673	100564	46.76	9	97501180	97601743	protein_coding	ENSG00000136842	TMOD1	7111
ENSG00000183873	51.6561323676412	230.94235704245	-1.88469042836171	0.989965236291254	-2.16052126729499	101631	50.94	3	38548057	38649687	protein_coding	ENSG00000183873	SCN5A	6331
ENSG00000167210	1127.00158027425	1636.74946083755	-1.88449199258201	0.98987976396732	-0.538343965238511	180249	45.39	18	46476972	46657220	protein_coding	ENSG00000167210	LOXHD1	125336
ENSG00000006007	2406.58863068596	3188.93541449551	-1.83252563907188	0.989783179495901	-0.406085322627768	20431	40.14	16	19501693	19522123	protein_coding	ENSG00000006007	GDE1	51573
ENSG00000152926	2224.12455406238	2969.51118312529	-1.8909111275061	0.989428132246826	-0.416987882551377	34913	39.13	7	64971772	65006684	protein_coding	ENSG00000152926	ZNF117	51351
ENSG00000101782	6197.51229062539	12963.5675295059	-1.81617550992748	0.989257922936492	-1.06470166509522	33317	41.69	18	23453287	23486603	protein_coding	ENSG00000101782	RIOK3	8780
ENSG00000278771	27106.3818244254	34947.9985208286	-1.81069330322913	0.989202552889321	-0.366577280264787	299	62.21	14	49853616	49853914	misc_RNA	ENSG00000278771	RN7SL3	378707
ENSG00000158560	96.7937980925813	215.229227343844	-1.83162099542799	0.988867861521741	-1.15288748671877	337817	38.59	7	95772506	96110322	protein_coding	ENSG00000158560	DYNC1I1	1780
ENSG00000065978	12896.5894096548	17754.4846655329	-1.88241977938689	0.988702131331876	-0.461193900263789	21388	40.63	1	42682418	42703805	protein_coding	ENSG00000065978	YBX1	4904
ENSG00000253214	188.632726983426	347.013529695362	-1.83141489110299	0.988662392885884	-0.879411913833883	16160	38.01	8	81149107	81165266	lncRNA	ENSG00000253214	LOC105375924	105375924
ENSG00000130821	6427.37457588149	9727.28429398625	-1.81780159256913	0.988467991938342	-0.597807530765227	8663	65.01	X	153687926	153696588	protein_coding	ENSG00000130821	SLC6A8	6535
ENSG00000230492	696.385373084529	1106.94037198849	-1.80901757874812	0.98845611476729	-0.668619703990014	20577	45.27	20	23010209	23030785	lncRNA	ENSG00000230492	NA	NA
ENSG00000100225	23538.8932579686	36221.9104140713	-1.83105684391602	0.988293655273208	-0.621816148912715	24154	38.81	22	32474676	32498829	protein_coding	ENSG00000100225	FBXO7	25793
ENSG00000090376	16051.9244630779	22039.6565409813	-1.81840301831758	0.98811050393456	-0.457355469349885	65428	39.98	12	66189195	66254622	protein_coding	ENSG00000090376	IRAK3	11213
ENSG00000197561	117.326290135915	386.221493426033	-1.909567027649	0.988085202185254	-1.7189021287233	5234	58.58	19	851014	856247	protein_coding	ENSG00000197561	ELANE	1991
ENSG00000123700	4443.47762468312	6482.4079966748	-2.17962960276891	0.987728637329548	-0.544840601946952	11372	41.95	17	70168673	70180044	protein_coding	ENSG00000123700	KCNJ2	3759
ENSG00000101425	115.127678104523	284.578809662783	-1.80731445142279	0.987451130997774	-1.30559352301904	33356	48.09	20	38304150	38337505	protein_coding	ENSG00000101425	BPI	671
ENSG00000267365	151.953142517958	284.342342127513	-1.80718185171221	0.9873652574715	-0.904002439022808	2442	47.38	17	70166961	70169402	lncRNA	ENSG00000267365	KCNJ2-AS1	400617
ENSG00000130830	11547.8932024998	19254.279150147	-1.9900086223658	0.987325787561722	-0.737549441536638	42324	41.68	X	154778684	154821007	protein_coding	ENSG00000130830	MPP1	4354
ENSG00000174125	23111.7777679634	28295.2860543141	-1.90592623629367	0.987251568213378	-0.291933485777327	66141	40.78	4	38790677	38856817	protein_coding	ENSG00000174125	TLR1	7096
ENSG00000145741	3007.23424930989	4628.61572693684	-1.90548368152358	0.987115787063099	-0.622143541978413	7228	38.63	5	73498408	73505635	protein_coding	ENSG00000145741	BTF3	689
ENSG00000149806	2921.7871556878	3670.800935515	-1.90538330189894	0.987085300894063	-0.329243794877816	1548	53.42	11	65120630	65122177	protein_coding	ENSG00000149806	FAU	2197
ENSG00000118680	4436.26133997352	5304.41029502041	-1.88019077953015	0.987066673667779	-0.257848014815706	16983	40.74	18	3261479	3278461	protein_coding	ENSG00000118680	MYL12B	103910
ENSG00000196517	535.798095274361	1034.22246543641	-1.80625925965048	0.986763789751863	-0.948785190954425	39968	56.44	1	43991500	44031467	protein_coding	ENSG00000196517	SLC6A9	6536
ENSG00000146007	1606.57126507348	2328.77745128631	-1.80616479794306	0.986699851730884	-0.535587797543671	8007	43.69	5	140698680	140706686	protein_coding	ENSG00000146007	ZMAT2	153527
ENSG00000173597	10735.0137521848	13988.9358522177	-1.90390257789734	0.986573458505176	-0.381962180517032	66795	37.28	4	69721167	69787961	protein_coding	ENSG00000173597	SULT1B1	27284
ENSG00000147604	1463.3949409113	2187.65395871521	-1.80573924639146	0.986411691773941	-0.580065375425524	5548	50.65	8	73290242	73295789	protein_coding	ENSG00000147604	RPL7	6129
ENSG00000156381	517.392771466529	981.934383044871	-1.82901044386079	0.986319549158362	-0.924366722692864	8033	59.94	14	102501767	102509799	protein_coding	ENSG00000156381	ANKRD9	122416
ENSG00000181751	320.713469644464	668.828164222323	-1.98914475282533	0.986238631317369	-1.06035065350355	19898	37.42	5	103258763	103278660	protein_coding	ENSG00000181751	MACIR	90355
ENSG00000068971	1565.33256980413	2256.10368243297	-1.8054498801453	0.986215638477379	-0.527364166332372	16923	54.41	11	64917553	64934475	protein_coding	ENSG00000068971	PPP2R5B	5526
ENSG00000104522	1241.44886859439	2076.55853627552	-1.89598743174635	0.986192626247309	-0.742169697951591	5431	65.11	8	143612618	143618048	protein_coding	ENSG00000104522	GFUS	7264
ENSG00000158869	7367.04901395632	8941.55657242835	-1.82881134346432	0.986138948458275	-0.279439160762784	5466	49.29	1	161215234	161220699	protein_coding	ENSG00000158869	FCER1G	2207
